ticker,claim,evidence_tier,metric,source,url,supports_factor,verified
ETSY,63% of Gen Z plan vintage/upcycled holiday purchases,B,63%,PwC Holiday Outlook 2025,https://www.pwc.com/us/en/industries/consumer-markets/library/gen-z-consumer-trends.html,behavioral_fit,yes
ETSY,Handmade/authentic goods benefit from AI-content skepticism,C,,Analyst inference from Gallup AI anger data,,ai_skepticism_benefit,no
PEP,Piper Sandler: Lays #2 preferred snack among teens,B,#2 snack,Piper Sandler Fall 2024,https://www.pipersandler.com/sites/default/files/document/TSWT_Fall24_Infographic.pdf,behavioral_fit,yes
PEP,NA beverage portfolio (bubly/Gatorade) benefits from alcohol moderation,C,,Sector inference from NIQ/Circana; no PEP youth share data,,alcohol_shift_benefit,no
KDP,Mocktail/NA RTD market projected $8.3B to $12.2B by 2030,B,5.7% CAGR,Grand View Research,https://www.grandviewresearch.com/industry-analysis/ready-to-drink-mocktails-market-report,alcohol_shift_benefit,yes
KDP,KDP distribution scale for NA RTD,C,,Analyst inference from sector TAM + company portfolio,,demographic_tailwind,no
BKNG,48% of U.S. travelers 18-34 say live event was major destination factor,B,48%,Arival 2024 event travel report,https://www.traveldailynews.com/statistics-trends/travel-experiences-market-grows-despite-flat-spending/,behavioral_fit,yes
BKNG,Travel experiences market $271B in 2025 (+17% YoY),B,$271B,Arival/Phocuswright 2025,https://www.traveldailynews.com/statistics-trends/travel-experiences-market-grows-despite-flat-spending/,demographic_tailwind,yes
EXPE,Event-driven travel booking attach rate growing,C,,Analyst inference from Arival sector data,,behavioral_fit,no
TJX,Gen Z +8pp more likely to buy secondhand vs average,B,+8pp,GWI 2025,https://www.gwi.com/blog/gen-z-spending-habits,behavioral_fit,yes
TJX,TJX off-price model aligns with thrift values,C,,Analyst inference from GWI secondhand data,,cultural_momentum,no
ROST,Gen Z 63% plan vintage/upcycled purchases (sector proxy),B,63%,PwC 2025,https://www.pwc.com/us/en/industries/consumer-markets/library/gen-z-consumer-trends.html,behavioral_fit,yes
ACHC,Adolescent MH ED visits declined from pandemic peaks by fall 2022,A,At/below 2019 baseline,CDC MMWR 2023,https://www.cdc.gov/mmwr/volumes/72/wr/mm7240a1.htm,behavioral_fit,yes
ACHC,Youth loneliness (51% weekend) does not directly prove ACHC demand,C,,Analyst inference; loneliness literature strongest in elderly,,demographic_tailwind,no
HIMS,Gen Z-native telehealth brand positioning,C,,Marketing claim; limited independent youth share data,,cultural_momentum,no
CRWD,Gen Z AI anxiety (42%) drives incremental cybersecurity spend,C,,Analyst inference; enterprise security demand not youth-driven,,ai_skepticism_benefit,no
CRWD,Historical price CAGR 2019-2026,A,42.57%,yfinance (script 04),,competitive_moat_10yr,yes
PANW,AI attack-surface expansion drives security demand,B,,Industry analyst consensus (Gartner/IDC); not Gen-Z-specific,,ai_skepticism_benefit,partial
TTWO,Gen Z +36pp more likely to buy in-game items vs average,B,+36pp,GWI 2025,https://www.gwi.com/blog/gen-z-spending-habits,behavioral_fit,yes
TTWO,GTA VI cycle is company-specific catalyst not Gen Z thesis,C,,Analyst inference,,cultural_momentum,no
NVDA,Gen Z uses AI weekly (51%) despite anger — infra layer wins,B,51%,Gallup 2026,https://news.gallup.com/poll/708224/gen-adoption-steady-skepticism-climbs.aspx,behavioral_fit,yes
NVDA,Historical price CAGR 2019-2026,A,73.75%,yfinance (script 04),,competitive_moat_10yr,yes
GOOGL,Gen Z AI anger poses reputational risk to AI-native platforms,C,,Analyst inference,,execution_risk,no
TAP,Total U.S. beer volume declined 2.9% in 2024 (scan data),A,-2.9% volume,NIQ 2024 Beverage Alcohol Year in Review,https://nielseniq.com/global/en/insights/analysis/2025/2024-beverage-alcohol-year-in-review/,alcohol_shift_benefit,yes
TAP,Craft beer participation among 21-34 fell 7pp since 2019,B,-7pp,CGA by NIQ on-premise 2025,https://nielseniq.com/global/en/insights/analysis/2025/how-craft-beer-can-reach-gen-z/,behavioral_fit,yes
BUD,Beer category volume/value declines in 2024-2025,A,Volume softness,NIQ 2024-2025 BevAl reviews,https://nielseniq.com/global/en/insights/analysis/2025/2024-beverage-alcohol-year-in-review/,alcohol_shift_benefit,yes
STZ,Same beer/spirits category headwinds as sector,B,,NIQ sector data; STZ-specific youth share not isolated,,behavioral_fit,partial
SAM,Transitional alcohol+NA portfolio; no strong Gen Z affinity data,C,,Analyst inference,,cultural_momentum,no
VST,Corporate restructuring adds execution uncertainty beyond Gen Z thesis,C,,Analyst inference,,execution_risk,no
